session_id,semantic_event_id,start_ms,end_ms,speaking_rate_chars_per_sec,pause_before_ms,pause_after_ms,volume_rms_avg,volume_dbfs_avg,peak_dbfs_max,volume_change,emphasis_label,prosody_status,audio_evidence_refs,completion_status
latest_live_06,latest_live_06-SEM0105-000002415850,2415850,2439760,6.78,80,470,0.386264,-8.3,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000465;latest_live_06-A000466;latest_live_06-A000467;latest_live_06-A000468,passed
latest_live_06,latest_live_06-SEM0106-000002439960,2439960,2476320,7.29,80,440,0.368181,-8.69,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000469;latest_live_06-A000470;latest_live_06-A000471;latest_live_06-A000472;latest_live_06-A000473;latest_live_06-A000474;latest_live_06-A000475;latest_live_06-A000476;latest_live_06-A000477,passed
latest_live_06,latest_live_06-SEM0107-000002476680,2476680,2504750,5.81,280,430,0.378408,-8.44,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000478;latest_live_06-A000479;latest_live_06-A000480;latest_live_06-A000481,passed
latest_live_06,latest_live_06-SEM0108-000002505030,2505030,2521240,7.65,240,440,0.356318,-8.97,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000482;latest_live_06-A000483;latest_live_06-A000484;latest_live_06-A000485,passed
latest_live_06,latest_live_06-SEM0109-000002521680,2521680,2548650,6.17,240,450,0.373678,-8.56,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000486;latest_live_06-A000487;latest_live_06-A000488;latest_live_06-A000489,passed
latest_live_06,latest_live_06-SEM0110-000002549090,2549090,2567430,7.3,80,820,0.378318,-8.46,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000490;latest_live_06-A000491;latest_live_06-A000492;latest_live_06-A000493,passed
latest_live_06,latest_live_06-SEM0111-000002567710,2567710,2574910,7.6,80,280,0.389919,-8.21,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000494;latest_live_06-A000495;latest_live_06-A000496;latest_live_06-A000497,passed
latest_live_06,latest_live_06-SEM0112-000002575190,2575190,2584750,5.97,80,400,0.372824,-8.6,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000498;latest_live_06-A000499;latest_live_06-A000500;latest_live_06-A000501,passed
latest_live_06,latest_live_06-SEM0113-000002585150,2585150,2603850,6.52,40,380,0.387259,-8.24,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000502;latest_live_06-A000503;latest_live_06-A000504;latest_live_06-A000505,passed
latest_live_06,latest_live_06-SEM0114-000002603930,2603930,2622970,5.87,80,360,0.383852,-8.32,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000506;latest_live_06-A000507;latest_live_06-A000508;latest_live_06-A000509,passed
latest_live_06,latest_live_06-SEM0115-000002623130,2623130,2654400,6.74,80,430,0.395991,-8.05,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000510;latest_live_06-A000511;latest_live_06-A000512;latest_live_06-A000513,passed
latest_live_06,latest_live_06-SEM0116-000002654640,2654640,2671780,6.61,240,960,0.385792,-8.29,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000514;latest_live_06-A000515;latest_live_06-A000516;latest_live_06-A000517,passed
latest_live_06,latest_live_06-SEM0117-000002672740,2672740,2696280,6.04,200,660,0.376859,-8.48,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000518;latest_live_06-A000519;latest_live_06-A000520;latest_live_06-A000521,passed
latest_live_06,latest_live_06-SEM0118-000002696520,2696520,2716240,6.19,240,320,0.386266,-8.29,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000522;latest_live_06-A000523;latest_live_06-A000524;latest_live_06-A000525,passed
latest_live_06,latest_live_06-SEM0119-000002716560,2716560,2732320,6.21,120,560,0.352514,-9.07,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000526;latest_live_06-A000527;latest_live_06-A000528;latest_live_06-A000529,passed
