route_name,artifact_type,source_report,result_video_path,media_exists,duration_sec,has_audio,voice_source,mouth_open_ratio_p90,mouth_face_ratio_p90,fail_frame_percent,longest_fail_streak,lipsync_metric_passed,local_postprocess_used,human_review_status,business_acceptance_status,conclusion_status
wan_raw_model_output,model_native_output,项目资料_docs/数字人直播项目事实_digital_human_live_project/正面15秒小球口播样片_front_15s_product_ball_sample/04_口型张嘴幅度检测报告_mouth_open_report.md,/Volumes/WD_BLACK/澜心社直播/outputs/front_15s_product_ball_mouth_control/front_15s_product_ball_mouth_control_attempt2_raw_failed_threshold.mp4,true,14.633333,true,cosyvoice-v3-flash longyingxiao_v3 TTS,0.2891281092255942,0.08985602706670762,2.9914529914529915,4,false,false,待验证,待验证,部分成立_raw_generated_but_mouth_face_ratio_failed
wan_local_postprocessed_output,local_fallback_output,项目资料_docs/数字人直播项目事实_digital_human_live_project/正面15秒小球口播样片_front_15s_product_ball_sample/06_本地后处理说明_postprocess_report.md,/Volumes/WD_BLACK/澜心社直播/outputs/front_15s_product_ball_mouth_control/front_15s_product_ball_mouth_control.mp4,true,14.581995,true,cosyvoice-v3-flash longyingxiao_v3 TTS,0.10403372181307027,0.030434972047805795,0,0,true,true,待验证,待验证,technical_metric_passed_local_fallback_not_model_native
videoretalk_model_output,model_native_output,项目资料_docs/数字人直播项目事实_digital_human_live_project/VideoRetalk_A声音金标准小球15秒重跑_videoretalk_final30_voice_gold_product_ball/04_成片质量检测_report.md,/Volumes/WD_BLACK/澜心社直播/outputs/videoretalk_final30_voice_gold_product_ball_rerun/videoretalk_final30_voice_gold_product_ball_15s.mp4,true,15.06,true,A voice clone cosyvoice-v3-flash custom voice_id,0.355425,0.11274,7.054,4,false,false,待验证,待验证,部分成立_voice_gold_and_live_action_better_but_mouth_metric_risk
