call_id,session_id,provider,model,modality,task_id,request_at,result_at,input_hash,output_hash,status,retry_count,local_raw_ref,git_safe_note
latest_live_01-QW0002,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:58:41+08:00,2026-07-23T15:58:41+08:00,310fed4a3ef9,1d10182a683504525f1be3236048a214b07e96209ba9a640c898e725aaf4c112,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0003,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:03+08:00,2026-07-23T15:59:03+08:00,aeba56531699,aa2a041f55a6755205062e3c0607c68cfda52755f828234ff55494af0f1beb95,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0004,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:08+08:00,2026-07-23T15:59:08+08:00,13ace3e3dadd,a50f5aa3f311bfb6e82ea0c373cf045768ef4284dd089e5561245bc23b64a338,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0005,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:14+08:00,2026-07-23T15:59:14+08:00,cd2ae893ad49,4d1636b56db996be5d974bc414d2fa4ad6a2f1dc7d51a1785183eb7e03d1559f,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0006,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:19+08:00,2026-07-23T15:59:19+08:00,d286e24089a0,cb798ddc0163f117e5b639df1c764ce59640e50b25ab474bc15847d9ef398d75,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0007,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:23+08:00,2026-07-23T15:59:23+08:00,63661a583c7e,6e100b5ab4a6b44e4c48f64abda49ca6a121abbee02f4cb8c6ca88719be3695b,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0007_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0008,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T15:59:28+08:00,2026-07-23T15:59:28+08:00,681b760b273f,ca83064b12de1d05f4ec6668ea4ef856b6ff69a627346cab0633ac1945482af5,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0008_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0009,latest_live_01,Alibaba DashScope,qwen-vl-max,qwen_vl_video_window,,2026-07-23T15:59:57+08:00,2026-07-23T15:59:57+08:00,bfaae65788a5,a15a99766f8d365732a7192b4a0d8d67d852cb1604b2a45ba262a2e6afd957d5,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0009_qwen-vl-max.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0010,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:05+08:00,2026-07-23T16:00:05+08:00,53c92a8859e7,158d652c9409edbf8a39cd4307773802aab09d277504e2307da9575b8462cf35,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0010_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_01-QW0011,latest_live_01,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:00:11+08:00,2026-07-23T16:00:11+08:00,7b7d6eedabf7,04602a9011691c5554c427afda64310fb8d63c11b3708c446f33cd6a6cf8bddc,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0011_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
